data_atendimento,design_de_sobrancelhas,fat_design,design_coloracao,fat_design_coloracao,design_coloracao_buco,fat_design_coloracao_buco,buco,fat_buco,brown_lamination,fat_brown_lamination,micropigmentacao,fat_micropigmentacao,extensao_de_cilios,fat_extensao_de_cilios,lash_lifting,fat_lash_lifting,limpeza_de_pele,fat_limpeza_de_pele,microagulhamento,fat_microagulhamento,peeling_quimico,fat_peeling_quimico,massagem_relaxante,fat_massagem_relaxante,pacote_massagem_5,fat_pacote_massagem_5,drenagem_linfatica,fat_drenagem_linfatica,striort,fat_striort,qtde_clientes,faturamento
2019-02-08 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-09 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-10 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-11 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-12 00:00:00,0.0,0.0,2,60.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,250.0,0.0,0.0,0,0.0,4.0,340.0
2019-02-13 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-14 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,100.0
2019-02-15 00:00:00,1.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,20.0
2019-02-16 00:00:00,1.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0,0.0,3.0,160.0
2019-02-17 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-18 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-19 00:00:00,1.0,20.0,0,0.0,4,120.0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,150.0
2019-02-20 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-21 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0,0.0,2.0,140.0
2019-02-22 00:00:00,0.0,0.0,0,0.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0,0.0,2.0,110.0
2019-02-23 00:00:00,0.0,0.0,0,0.0,2,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.5,40.0,0.0,0.0,0.0,0.0,0,0.0,3.0,160.0
2019-02-24 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-25 00:00:00,0.0,0.0,1,30.0,4,120.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,150.0
2019-02-26 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-02-27 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,240.0,0,0.0,0,0.0,0.0,0.0,1.0,250.0,0.0,0.0,0,0.0,4.0,490.0
2019-02-28 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-01 00:00:00,1.0,20.0,2,60.0,2,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,140.0
2019-03-02 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-03 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-04 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,100.0
2019-03-05 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-06 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,60.0
2019-03-07 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3.0,750.0,0.0,0.0,0,0.0,1.0,750.0
2019-03-08 00:00:00,0.0,0.0,2,60.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,360.0
2019-03-09 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,60.0
2019-03-10 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-11 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-12 00:00:00,0.0,0.0,1,30.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,2,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,390.0
2019-03-13 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-14 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,100.0
2019-03-15 00:00:00,0.0,0.0,0,0.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,240.0
2019-03-16 00:00:00,1.0,20.0,0,0.0,0,0.0,2,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,40.0
2019-03-17 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-18 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-19 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-20 00:00:00,0.0,0.0,0,0.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,180.0
2019-03-21 00:00:00,0.0,0.0,2,60.0,1,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,90.0
2019-03-22 00:00:00,0.0,0.0,0,0.0,3,90.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,0,0.0,0,0.0,0.0,0.0,1.0,250.0,0.0,0.0,0,0.0,5.0,460.0
2019-03-23 00:00:00,1.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,80.0
2019-03-24 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-25 00:00:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2019-03-26 00:00:00,0.0,0.0,0,0.0,4,120.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0,0.0,0,0.0,0.0,0.0,1.0,250.0,0.0,0.0,0,0.0,6.0,430.0
2019-03-27 00:00:00,0.0,0.0,1,30.0,1,30.0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,250.0
2019-03-28 00:00:00,0.0,0.0,1,30.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,130.0
